,homeTeamCode,awayTeamCode,game_id,time,period,team,teamCode,location,xCordAdjusted,xCordAdjusted,shotType,shotOnEmptyNet,shotRush,shotRebound,shotDistance,shotAngleAdjusted,shooterName,goalieNameForShot,event
1346988,MTL,NYR,30111,3329,3,AWAY,NYR,HOMEZONE,67,67,SNAP,0,0,0,35.6089876295,51.8427734126,Kevin Hayes,Carey Price,SHOT
1346989,MTL,NYR,30111,3373,3,AWAY,NYR,HOMEZONE,37,37,SLAP,0,0,0,57.697486947,25.6768156818,Nick Holden,Carey Price,SHOT
1346990,MTL,NYR,30111,3384,3,HOME,MTL,AWAYZONE,27,27,SLAP,0,0,0,66.1286624695,20.3532291481,Shea Weber,Henrik Lundqvist,SHOT
1346991,MTL,NYR,30111,3530,3,AWAY,NYR,HOMEZONE,69,69,WRIST,1,0,0,40.3112887415,60.2551187031,Michael Grabner,,GOAL
1346992,MTL,NYR,30111,3545,3,HOME,MTL,AWAYZONE,64,64,BACK,0,0,0,33.9705755029,42.6140559696,Alex Galchenyuk,Henrik Lundqvist,MISS
1346993,MTL,NYR,30111,3568,3,HOME,MTL,AWAYZONE,75,75,WRIST,0,0,0,31.304951685,63.4349488229,Alex Galchenyuk,Henrik Lundqvist,MISS
1346994,MTL,NYR,30111,3572,3,HOME,MTL,AWAYZONE,64,64,WRIST,0,0,0,36.0693775937,46.1233027141,Alex Galchenyuk,Henrik Lundqvist,SHOT
1346995,MTL,NYR,30111,3583,3,HOME,MTL,AWAYZONE,68,68,WRIST,0,0,0,42.5440947724,60.4221613187,Max Pacioretty,Henrik Lundqvist,MISS
1346996,MTL,NYR,30112,34,1,AWAY,NYR,HOMEZONE,59,59,WRIST,0,0,0,31.3209195267,16.699244234000002,Marc Staal,Carey Price,SHOT
1346997,MTL,NYR,30112,40,1,HOME,MTL,Neu. Zone,23,23,SNAP,0,0,0,74.2428447731,27.2553283749,Andrew Shaw,Henrik Lundqvist,MISS
1346998,MTL,NYR,30112,64,1,AWAY,NYR,HOMEZONE,42,42,WRIST,0,0,0,53.712196008,28.9509952075,Ryan McDonagh,Carey Price,MISS
1346999,MTL,NYR,30112,111,1,HOME,MTL,AWAYZONE,52,52,WRIST,0,0,0,50.2493781056,42.5804907833,Alex Galchenyuk,Henrik Lundqvist,MISS
1347000,MTL,NYR,30112,134,1,AWAY,NYR,HOMEZONE,77,77,WRIST,0,0,0,39.8497176903,72.4744316263,Tanner Glass,Carey Price,MISS
1347001,MTL,NYR,30112,164,1,AWAY,NYR,HOMEZONE,63,63,WRIST,0,0,0,37.483329628,46.0809241867,Michael Grabner,Carey Price,SHOT
1347002,MTL,NYR,30112,175,1,HOME,MTL,AWAYZONE,46,46,SLAP,0,0,0,45.8802789878,20.4098828338,Tomas Plekanec,Henrik Lundqvist,MISS
1347003,MTL,NYR,30112,219,1,AWAY,NYR,HOMEZONE,57,57,BACK,0,0,0,38.275318418000005,33.2748879848,Nick Holden,Carey Price,SHOT
1347004,MTL,NYR,30112,245,1,HOME,MTL,AWAYZONE,73,73,WRIST,0,0,0,26.4007575649,52.696051722,Jeff Petry,Henrik Lundqvist,GOAL
1347005,MTL,NYR,30112,313,1,AWAY,NYR,Neu. Zone,14,14,WRIST,0,0,0,82.7647267862,25.0168934781,Kevin Hayes,Carey Price,SHOT
1347006,MTL,NYR,30112,407,1,AWAY,NYR,HOMEZONE,70,70,TIP,0,0,0,20.248456731300003,20.2248594312,Tanner Glass,Carey Price,MISS
1347007,MTL,NYR,30112,425,1,HOME,MTL,Neu. Zone,20,20,DEFL,0,0,0,69.3541635376,5.79279649503,Max Pacioretty,Henrik Lundqvist,SHOT
1347008,MTL,NYR,30112,542,1,AWAY,NYR,HOMEZONE,78,78,WRIST,0,0,0,11.7046999107,19.9831065219,Rick Nash,Carey Price,MISS
1347009,MTL,NYR,30112,558,1,HOME,MTL,AWAYZONE,52,52,WRIST,0,0,0,41.5932686862,27.181111085500003,Andrei Markov,Henrik Lundqvist,SHOT
1347010,MTL,NYR,30112,604,1,AWAY,NYR,HOMEZONE,65,65,TIP,0,0,0,24.1867732449,7.1250163489,Oscar Lindberg,Carey Price,MISS
1347011,MTL,NYR,30112,612,1,AWAY,NYR,HOMEZONE,59,59,SLAP,0,0,0,41.725292090100005,44.0289780689,Nick Holden,Carey Price,SHOT
1347012,MTL,NYR,30112,638,1,HOME,MTL,AWAYZONE,84,84,WRIST,0,0,0,22.5610283454,77.1957339347,Brendan Gallagher,Henrik Lundqvist,SHOT
1347013,MTL,NYR,30112,642,1,HOME,MTL,AWAYZONE,60,60,WRIST,0,0,0,39.6232255123,42.9545915111,Jeff Petry,Henrik Lundqvist,MISS
1347014,MTL,NYR,30112,803,1,HOME,MTL,AWAYZONE,82,82,BACK,0,0,0,7.615773105860001,23.198590513600003,Paul Byron,Henrik Lundqvist,SHOT
1347015,MTL,NYR,30112,828,1,AWAY,NYR,HOMEZONE,83,83,BACK,0,0,0,7.211102550930001,33.690067526,Michael Grabner,Carey Price,GOAL
1347016,MTL,NYR,30112,914,1,AWAY,NYR,HOMEZONE,46,46,WRIST,0,0,0,43.1045241245,3.990913098430001,Brendan Smith,Carey Price,SHOT
1347017,MTL,NYR,30112,940,1,HOME,MTL,AWAYZONE,84,84,WRIST,0,0,0,28.4429253067,79.8753283446,Brendan Gallagher,Henrik Lundqvist,SHOT
1347018,MTL,NYR,30112,942,1,HOME,MTL,AWAYZONE,73,73,WRIST,0,0,1,16.1245154966,7.1250163489,Paul Byron,Henrik Lundqvist,GOAL
1347019,MTL,NYR,30112,1035,1,AWAY,NYR,HOMEZONE,52,52,WRIST,0,0,0,37.0,0.0,Derek Stepan,Carey Price,SHOT
1347020,MTL,NYR,30112,1059,1,HOME,MTL,AWAYZONE,84,84,BACK,0,0,0,13.9283882772,68.9624889746,Alex Galchenyuk,Henrik Lundqvist,MISS
1347021,MTL,NYR,30112,1120,1,HOME,MTL,AWAYZONE,64,64,BACK,0,0,0,25.3179778023,9.09027692082,Andrew Shaw,Henrik Lundqvist,SHOT
1347022,MTL,NYR,30112,1156,1,HOME,MTL,AWAYZONE,53,53,WRIST,0,0,0,49.5176736126,43.3634229584,Alexander Radulov,Henrik Lundqvist,SHOT
1347023,MTL,NYR,30112,1186,1,AWAY,NYR,HOMEZONE,74,74,WRIST,0,0,0,15.8113883008,18.4349488229,Rick Nash,Carey Price,SHOT
1347024,MTL,NYR,30112,1219,2,HOME,MTL,AWAYZONE,82,82,WRAP,0,0,0,7.615773105860001,23.198590513600003,Andrew Shaw,Henrik Lundqvist,SHOT
1347025,MTL,NYR,30112,1226,2,HOME,MTL,AWAYZONE,35,35,WRIST,0,0,0,58.309518948500006,22.1663458221,Jeff Petry,Henrik Lundqvist,SHOT
1347026,MTL,NYR,30112,1310,2,HOME,MTL,AWAYZONE,73,73,WRIST,0,0,0,21.9317121995,43.152389734,Tomas Plekanec,Henrik Lundqvist,SHOT
1347027,MTL,NYR,30112,1351,2,AWAY,NYR,HOMEZONE,51,51,SLAP,0,0,0,42.9418211072,27.7585406011,Nick Holden,Carey Price,SHOT
1347028,MTL,NYR,30112,1391,2,AWAY,NYR,HOMEZONE,78,78,TIP,0,0,0,11.0453610172,5.19442890773,Kevin Hayes,Carey Price,MISS
1347029,MTL,NYR,30112,1432,2,HOME,MTL,AWAYZONE,76,76,WRIST,0,0,0,29.0688837075,63.4349488229,Artturi Lehkonen,Henrik Lundqvist,SHOT
1347030,MTL,NYR,30112,1490,2,HOME,MTL,AWAYZONE,83,83,WRIST,0,0,0,29.6141857899,78.3106308246,Max Pacioretty,Henrik Lundqvist,SHOT
1347031,MTL,NYR,30112,1495,2,AWAY,NYR,HOMEZONE,43,43,SLAP,0,0,0,50.5667875191,24.5377284766,Mika Zibanejad,Carey Price,SHOT
1347032,MTL,NYR,30112,1585,2,HOME,MTL,AWAYZONE,58,58,WRIST,0,0,0,41.1096095822,41.054813771,Max Pacioretty,Henrik Lundqvist,SHOT
1347033,MTL,NYR,30112,1613,2,AWAY,NYR,HOMEZONE,53,53,SLAP,0,0,0,45.0,36.8698976458,J.T. Miller,Carey Price,SHOT
1347034,MTL,NYR,30112,1620,2,AWAY,NYR,HOMEZONE,81,81,SNAP,0,0,0,20.6155281281,67.1663458221,Kevin Hayes,Carey Price,SHOT
1347035,MTL,NYR,30112,1633,2,HOME,MTL,AWAYZONE,82,82,WRIST,0,0,0,13.8924439894,59.7435628365,Andrew Shaw,Henrik Lundqvist,SHOT
